request,rule,response
아직도 부조리가 존재하나요?,부조리,"부조리가 심하냐고 물으신다면 단연코 아니라고 말씀 드립니다!  소위 전해지는 선 후배간의 무식한 군기교육 등의 행위는 전혀 없으니 걱정 안 하셔도 될 것 같습니다. 다만, 일반 생활적인 예절, 인성의 부족의 경우 지적받을 수 있습니다."
ROTC는 의무 복무 기간이 다른가요?,의무|복무,육군 ROTC의 경우 의무 복무 기간은 2년 4개월입니다!
머리는 짧아야 하나요?,머리|짧,"두발 규정을 정확히 알려드리기는 어렵습니다만 후보생 생활 중에 헤어스타일은 원하는 대로 하실 수는 없습니다. 파마, 염색 등은 금지입니다. 다만, 입영 훈련 시기를 제외하고는 생각만큼 짧게 유지하지는 않는다는 것을 알려드립니다!"
두발 규정이 있나요?,두발|규정,"두발 규정을 정확히 알려드리기는 어렵습니다만 후보생 생활 중에 헤어스타일은 원하는 대로 하실 수는 없습니다. 파마, 염색 등은 금지입니다. 다만, 입영 훈련 시기를 제외하고는 생각만큼 짧게 유지하지는 않는다는 것을 알려드립니다!"
올해 학군단 시험 일정이 어떻게 되나요?,올해|학군단|시험|일정,서울과학기술대학교 ROTC 홈페이지(rotc.seoultech.ac.kr)의 학군후보생 모집요강을 참고해주세요!
올해 학군단 시험 일정이 어떻게 되나요?,올해|학군단|시험|일정,서울과학기술대학교 ROTC 홈페이지(rotc.seoultech.ac.kr)의 학군후보생 모집요강을 참고해주세요!
학군단는 몇 학년에 지원할 수 있나요?,학군단|학년|지원,"ROTC는 학적 상 1학년, 2학년일 때 지원할 수 있습니다!"
여자도 학군단 지원할 수 있나요?,여자|학군단|지원,"네 지원 가능합니다! 단, 여군은 권역별로 선발합니다."
학군단를 하게 되면 기존 학과에서 전과를 하는 시스템인가요?,학군단|전과,"학군단은 대학생활과 병행하는 것으로, 기존 학과 수업에 군사학 수업만 추가로 수강합니다. 추가적으로, 겨울방학과 여름방학에 입영훈련을 통해 장교의 자질을 키워 나갑니다. 군사학이나 입영훈련 관련 추가정보는 서울과학기술대학교 ROTC 홈페이지(rotc.seoultech.ac.kr)의 후보생 교육과정을 참고해주세요!"
학군단하면 부사관이 되는건가요?,학군단|부사관,"ROTC는 3,4학년에 후보생 생활을 마치고 부사관(하사,중사 등)이 아닌 장교(소위)로 임관합니다!"
학군단은 뭔가요?,학군단|뭔,"ROTC는 장교 양성을 위해 종합대학에 설치된 ‘학생군사훈련단’입니다. 학군사관으로서 재학 중 3,4학년기간동안 대학 수업과 병행하여 진행하는 군사교육과정으로, 2년간의 군사교육에는 육군학생군사학교에서 실시하는 12주의 군사훈련과 교내 군사학 교육, 그 외 학군단 주최 행사 등이 있습니다."
학군단은 무엇인가요,학군단|무엇,"ROTC는 장교 양성을 위해 종합대학에 설치된 ‘학생군사훈련단’입니다. 학군사관으로서 재학 중 3,4학년기간동안 대학 수업과 병행하여 진행하는 군사교육과정으로, 2년간의 군사교육에는 육군학생군사학교에서 실시하는 12주의 군사훈련과 교내 군사학 교육, 그 외 학군단 주최 행사 등이 있습니다."
학군단을 하게 되면 기존 학과에서 전과를 하는 시스템인가요?,학군단|전과,"학군단은 대학생활과 병행하는 것으로, 기존 학과 수업에 군사학 수업만 추가로 수강합니다. 추가적으로, 겨울방학과 여름방학에 입영훈련을 통해 장교의 자질을 키워 나갑니다. 군사학이나 입영훈련 관련 추가정보는 서울과학기술대학교 ROTC 홈페이지(rotc.seoultech.ac.kr)의 후보생 교육과정을 참고해주세요!"
학군단이랑 학사장교는 다른 건가요?,학군단|학사장교,"학사장교는 대학교 생활을 마치고 군사훈련을 받은 후에 군 생활을 합니다! 의무복무기간은 3년입니다. ROTC는 3,4학년 후보생 생활 2년을 보내고 바로 임관하여 군 생활을 시작합니다! 의무 복무기간은 2년 4개월(28개월)로 학사장교보다 약 8개월 정도 짧습니다."
학군단만의 혜택이 있나요?,학군단|혜택,"ROTC 후보생이 누릴 수 있는 혜택은 후보생 신분증 발급, 대학생활 중 매월 교보재비 지급, 국내 및 국외 문화전사적지 탐방기회, 학군단 내 휴식공간 및 체육시설 상시 이용가능 등 외에도 많은 혜택이 있습니다."
